@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %08s "TT40TT41"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720813
@ CHARGE           %le                   1
@ ENERGY           %le         400.0011004
@ PC               %le                 400
@ GAMMA            %le         426.3167459
@ KBUNCH           %le                   1
@ BCURRENT         %le       0.01067372943
@ SIGE             %le              0.0004
@ SIGT             %le                   1
@ NPART            %le              2e+011
@ EX               %le    8.209880711e-009
@ EY               %le    8.209880711e-009
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le                 900
@ ALFA             %le                   0
@ ORBIT5           %le                  -0
@ GAMMATR          %le                   0
@ Q1               %le         3.139531819
@ Q2               %le         3.075698682
@ DQ1              %le                   0
@ DQ2              %le                   0
@ DXMAX            %le         7.904651688
@ DYMAX            %le         1.081193202
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         1740.550018
@ BETYMAX          %le         39136.19404
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         2.661899654
@ DYRMS            %le        0.3002731354
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %08s "no-title"
@ ORIGIN           %18s "5.05.01 Windows 64"
@ DATE             %08s "18/03/20"
@ TIME             %08s "13.28.45"
* NAME               KEYWORD                           K1L                K2L                K3L                  S                  L               BETX               BETY                 DX                 DY                MUX                MUY 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "BPK.400307"        "MONITOR"                            0                  0                  0        78.00001247               0.45        445.3576193        4397.123451       -0.542267003  -1.332671709e-006      0.06781798725       0.0758040727
 "DRIFT_15"          "DRIFT"                              0                  0                  0        78.51501247       0.5149999977        456.6341021        4307.779457      -0.5547706312  -1.320750555e-006      0.06799974329      0.07582290556
 "MBHA.400309"       "RBEND"                              0                  0                  0        81.92701447        3.412002005        534.9342311        3738.963451      -0.6440161016  -1.257785058e-006      0.06909848971       0.0759582147
 "DRIFT_16"          "DRIFT"                              0                  0                  0        82.62701447       0.6999999954        551.7695719        3627.233305      -0.6636398347  -1.248153428e-006      0.06930355361      0.07598846675
 "MBHA.400318"       "RBEND"                              0                  0                  0        86.03901647        3.412002005        637.5896774        3106.848609      -0.7656973928  -1.223634028e-006      0.07021910193      0.07615023068
 "DRIFT_17"          "DRIFT"                              0                  0                  0        86.73901648       0.7000000054        655.9678066        3005.058252      -0.7879496365  -1.223205845e-006      0.07039137063      0.07618669194
 "MBHA.400326"       "RBEND"                              0                  0                  0        90.15101848        3.412002005        749.3078886        2533.140237      -0.9028192823  -1.246757755e-006      0.07116593709      0.07638351386
 "DRIFT_18"          "DRIFT"                              0                  0                  0        90.85101848       0.6999999954        769.2288055         2441.29659      -0.9277000361  -1.256850743e-006      0.07131268107      0.07642831389
 "MBHA.400334"       "RBEND"                              0                  0                  0        94.26302048        3.412002005        870.0888639        2017.877332        -1.05538177  -1.334893047e-006      0.07197645482      0.07667297893
 "DRIFT_19"          "DRIFT"                              0                  0                  0        95.20602048       0.9429999977        899.0649515        1907.955614       -1.092440678   -1.36443631e-006      0.07214614416      0.07674946817
 "BTV.400343"        "INSTRUMENT"                         0                  0                  0        95.65602048               0.45        913.0603452        1856.586245       -1.110125205  -1.378534368e-006      0.07222519153      0.07678752135
 "DRIFT_20"          "DRIFT"                              0                  0                  0        95.76902048              0.113        916.5917935        1843.796974       -1.114565987  -1.382074547e-006       0.0722448505      0.07679724175
