@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %08s "no-title"
@ ORIGIN           %18s "5.05.01 Windows 64"
@ DATE             %08s "15/07/20"
@ TIME             %08s "13.35.15"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "DRIFT_14"          "DRIFT"                    76.61951247       0.5149999977                  0        -2378.25085        2401.769198        4413.278147        -2.16142233    0.0001780018878  -2.384862429e-006  -2.384862429e-006          0          0                  0                  0 ""                 
 "MBHA.400309"       "RBEND"                    80.03151447        3.412002005          -0.003755       -2381.088393        2401.769806        4411.383393        -2.15766733    0.0001780010653  -3.053258766e-006    1.15137571e-007          0          0                  0                  0 ""                 
 "DRIFT_15"          "DRIFT"                    80.73151447       0.6999999954                  0       -2381.671267         2401.76993        4410.995762        -2.15766733    0.0001780010653  -3.053258766e-006  -3.053258766e-006          0          0                  0                  0 ""                 
 "MBHA.400318"       "RBEND"                    84.14351647        3.412002005          -0.003755       -2384.515905        2401.770538        4409.111676        -2.15391233    0.0001780014879  -3.721654352e-006   4.467412342e-007          0          0                  0                  0 ""                 
 "DRIFT_16"          "DRIFT"                    84.84351648       0.7000000054                  0        -2385.10023        2401.770662        4408.726237        -2.15391233    0.0001780014879  -3.721654352e-006  -3.721654352e-006          0          0                  0                  0 ""                 
 "MBHA.400326"       "RBEND"                    88.25551848        3.412002005          -0.003755       -2387.951923         2401.77127        4406.852846        -2.15015733    0.0001780012795   -4.39005034e-006   2.786956482e-007          0          0                  0                  0 ""                 
 "DRIFT_17"          "DRIFT"                    88.95551848       0.6999999954                  0       -2388.537692        2401.771394        4406.469603        -2.15015733    0.0001780012795   -4.39005034e-006   -4.39005034e-006          0          0                  0                  0 ""                 
 "MBHA.400334"       "RBEND"                    92.36752048        3.412002005          -0.003755       -2391.396399        2401.772002        4404.606934        -2.14640233    0.0001780004372  -5.058444355e-006   1.098996601e-007          0          0                  0                  0 ""                 
 "DRIFT_18"          "DRIFT"                    93.31052048       0.9429999977                  0       -2392.187446        2401.772169        4404.093618        -2.14640233    0.0001780004372  -5.058444355e-006  -5.058444355e-006          0          0                  0                  0 ""                 
 "BTV.400343"        "INSTRUMENT"               93.76052048               0.45                  0       -2392.564934         2401.77225        4403.848664        -2.14640233    0.0001780004372  -5.058444355e-006  -5.058444355e-006          0          0                  0                  0 ""                 
 "DRIFT_19"          "DRIFT"                    93.87352048              0.113                  0       -2392.659726         2401.77227        4403.787153        -2.14640233    0.0001780004372  -5.058444355e-006  -5.058444355e-006          0          0                  0                  0 ""                 
 "BCTFI.400344"      "INSTRUMENT"               94.35552048              0.482                  0       -2393.064057        2401.772355        4403.524779        -2.14640233    0.0001780004372  -5.058444355e-006  -5.058444355e-006          0          0                  0                  0 ""                 
 "DRIFT_20"          "DRIFT"                    106.7675205        12.41200002                  0        -2403.47602        2401.774565        4396.768391        -2.14640233    0.0001780004372  -5.058444355e-006  -5.058444355e-006          0          0                  0                  0 ""                 
 "QTLF.400400"       "QUADRUPOLE"               109.7575205               2.99                  0       -2405.984219        2401.775097        4395.140805        -2.14640233    0.0001780004372  -5.058444355e-006  -5.058444355e-006          0          0                  0                  0 ""                 
 "DRIFT_21"          "DRIFT"                    110.1475205               0.39                  0       -2406.311375        2401.775166        4394.928511        -2.14640233    0.0001780004372  -5.058444355e-006  -5.058444355e-006          0          0                  0                  0 ""                 
 "BPK.400407"        "MONITOR"                  110.5975205               0.45                  0       -2406.688863        2401.775247        4394.683557        -2.14640233    0.0001780004372  -5.058444355e-006  -5.058444355e-006          0          0                  0                  0 ""                 
 "DRIFT_22"          "DRIFT"                    111.4725205       0.8749999898                  0       -2407.422868        2401.775402        4394.207256        -2.14640233    0.0001780004372  -5.058444355e-006  -5.058444355e-006          0          0                  0                  0 ""                 
 "MBSG.410010"       "RBEND"                    114.4725217         3.00000122         -0.0031247       -2409.942004        2401.775936         4392.57816        -2.14327763     0.000178000948  -5.614643578e-006   4.415556446e-007          0          0                  0                  0 ""                 
 "DRIFT_23"          "DRIFT"                    115.1125217       0.6399999795                  0       -2410.479962         2401.77605         4392.23146        -2.14327763     0.000178000948  -5.614643578e-006  -5.614643578e-006          0          0                  0                  0 ""                 
 "MBSG.410017"       "RBEND"                    118.1125229         3.00000122         -0.0031247       -2413.004176        2401.776584        4390.610243       -2.140152929    0.0001780012831  -6.170844122e-006   3.853564221e-007          0          0                  0                  0 ""                 
 "DRIFT_24"          "DRIFT"                    118.7525229       0.6399999795                  0       -2413.543215        2401.776698        4390.265226       -2.140152929    0.0001780012831  -6.170844122e-006  -6.170844122e-006          0          0                  0                  0 ""                 
 "MBSG.410024"       "RBEND"                    121.7525241         3.00000122         -0.0031247       -2416.072483        2401.777232        4388.651905       -2.137028229    0.0001780014426  -6.727045439e-006   3.291558779e-007          0          0                  0                  0 ""                 
 "DRIFT_25"          "DRIFT"                    131.2155242         9.46300008                  0       -2424.058577        2401.778917        4383.575423       -2.137028229    0.0001780014426  -6.727045439e-006  -6.727045439e-006          0          0                  0                  0 ""                 
 "MBSG.410049"       "RBEND"                    134.2155254         3.00000122         -0.0031247       -2426.592873        2401.779451        4381.970013       -2.133903529    0.0001780014266   -7.28324698e-006   2.729545609e-007          0          0                  0                  0 ""                 
 "DRIFT_26"          "DRIFT"                    134.8555254       0.6399999795                  0       -2427.134057        2401.779564         4381.62837       -2.133903529    0.0001780014266   -7.28324698e-006   -7.28324698e-006          0          0                  0                  0 ""                 
 "MBSG.410057"       "RBEND"                    137.8555266         3.00000122         -0.0031247       -2429.673358        2401.780098        4380.030887       -2.130778829    0.0001780012341  -7.839448196e-006   2.165030197e-007          0          0                  0                  0 ""                 
 "DRIFT_27"          "DRIFT"                    138.4955266       0.6399999795                  0       -2430.215607        2401.780212        4379.690937       -2.130778829    0.0001780012341  -7.839448196e-006  -7.839448196e-006          0          0                  0                  0 ""                 
 "MBSG.410064"       "RBEND"                    141.4955278         3.00000122         -0.0031247       -2432.759887        2401.780746        4378.101396       -2.127654129    0.0001780008668  -8.395648536e-006   1.605518044e-007          0          0                  0                  0 ""                 
 "DRIFT_28"          "DRIFT"                    142.1355278       0.6399999795                  0       -2433.303196         2401.78086        4377.763143       -2.127654129    0.0001780008668  -8.395648536e-006  -8.395648536e-006          0          0                  0                  0 ""                 
 "MBSG.410071"       "RBEND"                     145.135529         3.00000122         -0.0031247        -2435.85243        2401.781394         4376.18156       -2.124529429    0.0001780003239  -8.951847455e-006   1.043514637e-007          0          0                  0                  0 ""                 
 "DRIFT_29"          "DRIFT"                     145.775529       0.6399999795                  0       -2436.396793        2401.781508        4375.845005       -2.124529429    0.0001780003239  -8.951847455e-006  -8.951847455e-006          0          0                  0                  0 ""                 
 "MBSG.410079"       "RBEND"                    148.7755302         3.00000122         -0.0031247       -2438.950956        2401.782042        4374.271396       -2.121404729    0.0001780011682  -9.508046845e-006    5.48302545e-007          0          0                  0                  0 ""                 
 "DRIFT_30"          "DRIFT"                    149.3255302       0.5499999898                  0        -2439.41967         2401.78214        4373.983632       -2.121404729    0.0001780011682  -9.508046845e-006  -9.508046845e-006          0          0                  0                  0 ""                 
 "QTLD.410100"       "QUADRUPOLE"               152.3155302               2.99                  0       -2441.967767        2401.782672        4372.419247       -2.121404729    0.0001780011682  -9.508046845e-006  -9.508046845e-006          0          0                  0                  0 ""                 
 "DRIFT_31"          "DRIFT"                    152.7055302               0.39                  0       -2442.300127        2401.782742        4372.215197       -2.121404729    0.0001780011682  -9.508046845e-006  -9.508046845e-006          0          0                  0                  0 ""                 
 "BPM.410107"        "VMONITOR"                 152.9555302               0.25                  0       -2442.513179        2401.782786        4372.084395       -2.121404729    0.0001780011682  -9.508046845e-006  -9.508046845e-006          0          0                  0                  0 ""                 
 "DRIFT_32"          "DRIFT"                    172.7325302        19.77700002                  0       -2459.367264        2401.786307        4361.736954       -2.121404729    0.0001780011682  -9.508046845e-006  -9.508046845e-006          0          0                  0                  0 ""                 
 "MBG.410147"        "RBEND"                     179.032547        6.300016764        -0.00799133       -2464.749291        2401.787428        4358.462236       -2.113413399    0.0001780034115  -1.093052947e-005   9.919531555e-007          0          0                  0                  0 ""                 
