@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %17s "TT40TT41_ORIGINAL"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720813
@ CHARGE           %le                   1
@ ENERGY           %le         400.0011004
@ PC               %le                 400
@ GAMMA            %le         426.3167459
@ KBUNCH           %le                   1
@ BCURRENT         %le       0.01091631419
@ SIGE             %le              0.0004
@ SIGT             %le                   1
@ NPART            %le              2e+011
@ EX               %le    8.209880711e-009
@ EY               %le    8.209880711e-009
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le                 880
@ ALFA             %le                   0
@ ORBIT5           %le                  -0
@ GAMMATR          %le                   0
@ Q1               %le         3.370189295
@ Q2               %le         3.122047782
@ DQ1              %le                   0
@ DQ2              %le                   0
@ DXMAX            %le         3.565771181
@ DYMAX            %le         1.089121969
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         1080.543051
@ BETYMAX          %le          1080.58001
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.730205196
@ DYRMS            %le        0.2965240588
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %08s "no-title"
@ ORIGIN           %18s "5.05.01 Windows 64"
@ DATE             %08s "15/07/20"
@ TIME             %08s "12.12.11"
* NAME               KEYWORD                             S                  L             APER_1             APER_2               TILT              ANGLE                K1L                  X                  Y               BETX               BETY                 DX                 DY                 PX                 PY               ALFX               ALFY                DPX                DPY                MUX                MUY            SIGMA_X            SIGMA_Y              ENV_X              ENV_Y              AP1MM              AP2MM 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "DRIFT_6"           "DRIFT"                    11.35450416       0.4999999948                  0                  0                  0                  0                  0                  0                  0        34.91961444        102.6478162      -0.5760757292   -6.14359913e-009                  0                  0       -0.914526986        2.216552631     -0.01161653693  -2.234095127e-009      0.06545366753      0.01470532064       0.7370609405       0.9180079383        6.720860725        9.033763858                  0                  0
 "MBHC.400118"       "RBEND"                    14.10450623        5.000004155               0.13               0.03           1.5e-006          -0.004466                  0                  0                  0        40.34739909          90.891454       -0.610813908  -1.648067968e-008                  0                  0       -1.059144203        2.058317236     -0.01384951225  -5.585276926e-009      0.07712444313      0.01923716789       0.7893299542       0.8638395958        6.996653188         8.67773316                130                 30
 "DRIFT_7"           "DRIFT"                    16.85450831       0.5000000048                  0                  0                  0                  0                  0                  0                  0        46.57017427        80.00633105      -0.6522480638  -3.686262289e-008                  0                  0       -1.203761421        1.900036682     -0.01608255664  -8.936713786e-009      0.08722820205      0.02437056141       0.8466242147       0.8104640639        7.292414878        8.326913326                  0                  0
 "MBHC.400129"       "RBEND"                    19.60451039        5.000004155               0.13               0.03             2e-006          -0.004466                  0                  0                  0        53.58881074        69.99114839      -0.6992679896  -6.703067734e-008                  0                  0       -1.348378639        1.741714442     -0.01831552083  -1.340518207e-008      0.09599379938      0.03022071168       0.9080417205       0.7580417956        7.604382621        7.982358961                130                 30
 "DRIFT_8"           "DRIFT"                    23.48301247        2.757000002                  0                  0                  0                  0                  0                  0                  0        64.83896905        57.34724624      -0.7761725197  -1.307620133e-007                  0                  0       -1.552341638        1.518311675     -0.02054857635  -1.787406463e-008       0.1064733598      0.03997009602        1.001268452       0.6861639414        8.067133959        7.509929371                  0                  0
 "QTRF.400200"       "QUADRUPOLE"               26.35651247               2.99               0.03               0.03                  0                  0        0.041359474                  0                  0        71.97575863        50.67349472      -0.8226567887  -1.846694465e-007                  0                  0       -0.200303354       0.3163242746    -0.003680521801  -2.138132131e-008       0.1131023715      0.04854378183        1.056643723        0.645003469        8.340432846        7.239395036                 30                 30
 "DRIFT_9"           "DRIFT"                    28.10301247              0.503                  0                  0                  0                  0                  0                  0                  0         69.7661662        51.72753657      -0.8121016673  -2.260876397e-007                  0                  0        1.239599806      -0.7744670576      0.01330102766  -2.555131214e-008       0.1169993693      0.05401017629        1.041058036       0.6516772041        8.258580334        7.283259218                  0                  0
 "BPK.400207"        "MONITOR"                  28.57951247               0.45            0.11674              0.133                  0                  0                  0                  0                  0        68.59308291        52.47262582      -0.8057637276  -2.382628399e-007                  0                  0        1.222274882       -0.789203973      0.01330102766  -2.555131214e-008       0.1180956553      0.05546584248        1.032449987       0.6563538432          8.2143642        7.313997203             116.74                133
 "DRIFT_10"          "DRIFT"                    32.30451247                  7                  0                  0                  0                  0                  0                  0                  0        59.99163484        58.78133269      -0.7562173995  -3.334414776e-007                  0                  0        1.086838694      -0.9044086107      0.01330102766  -2.555131214e-008       0.1273427493      0.06614867589       0.9664818479       0.6946905092        7.877414226        7.565971298                  0                  0
 "BTV.400222"        "INSTRUMENT"               36.02951247               0.45               0.06               0.06                  0                  0                  0                  0                  0        52.39918637        65.94831412      -0.7066710715  -4.286201153e-007                  0                  0       0.9514025055       -1.019613248      0.01330102766  -2.555131214e-008       0.1379245312      0.07567629247       0.9032291654       0.7358232666        7.558312053        7.836323182                 60                 60
 "DRIFT_11"          "DRIFT"                    53.58401247             34.659                  0                  0                  0                  0                  0                  0                  0        30.20071242        111.2765238      -0.4731781814  -8.771606242e-007                  0                  0       0.3131435623       -1.562528634      0.01330102766  -2.555131214e-008       0.2106628543       0.1085230413       0.6635559838       0.9558142326        6.438431802        9.282250481                  0                  0
 "MDSV.400293"       "VKICKER"                  71.26351247                0.7              0.059               0.19                  0                  0                  0                  0                  0        30.49271866         176.192794      -0.2380226628  -1.328895047e-006                  0                  0      -0.3296602194       -2.109309947      0.01330102766  -2.555131214e-008       0.3096432526       0.1286721112       0.5836530331        1.202723558        6.371911513        10.90510329                 59                190
 "DRIFT_12"          "DRIFT"                    71.88751247              0.548                  0                  0                  0                  0                  0                  0                  0        30.91829182        178.8372552      -0.2297228215  -1.344839066e-006                  0                  0      -0.3523480533       -2.128608657      0.01330102766  -2.555131214e-008       0.3128779138       0.1292315886       0.5842275362        1.211715728        6.391875832        10.96420583                  0                  0
 "QTRD.400300"       "QUADRUPOLE"               73.65651247               2.99               0.03               0.03                  0                  0       -0.035665019                  0                  0        33.13564737        181.5950843      -0.2091251115  -1.371890072e-006                  0                  0        -1.00188483        1.083648944     0.009429240695  -1.211742182e-009       0.3217298995        0.130784845       0.5947718416        1.221022856        6.501354568        11.02537846                 30                 30
 "DRIFT_13"          "DRIFT"                    75.40301247              0.503                  0                  0                  0                  0                  0                  0                  0        38.09920633        171.5396616        -0.19629841  -1.349622402e-006                  0                  0       -1.776690218        4.162970635     0.005809392497   2.316006063e-008       0.3296011272        0.132350777       0.6279847704        1.186735751        6.744669855        10.80002066                  0                  0
 "BPK.400307"        "MONITOR"                  75.87951247               0.45            0.11674              0.133                  0                  0                  0                  0                  0        39.81716354        167.5966129      -0.1935302345  -1.338586633e-006                  0                  0       -1.828676427        4.112052967     0.005809392497   2.316006063e-008       0.3315482832        0.132798046       0.6394863256        1.173017174        6.825664936        10.70985299             116.74                133
 "DRIFT_14"          "DRIFT"                    76.36201247       0.5149999977                  0                  0                  0                  0                  0                  0                  0        41.60723548        163.6533589      -0.1907272026  -1.327411904e-006                  0                  0       -1.881317236        4.060494153     0.005809392497   2.316006063e-008       0.3334350057       0.1332617309       0.6512161563         1.15913552        6.908228382        10.61861347                  0                  0
 "MBHA.400309"       "RBEND"                    78.32551347        3.412002005               0.23               0.04           2.5e-006          -0.003755                  0                  0                  0        49.41594708        148.1186718      -0.1809223064  -1.285938741e-006                  0                  0       -2.095535001        3.850984464     0.003931878196   1.846802782e-008        0.340328969       0.1352689519       0.7002725113        1.102748969        7.249783458        10.24800332                230                 40
 "DRIFT_15"          "DRIFT"                    80.38151447       0.6999999954                  0                  0                  0                  0                  0                  0                  0        58.49377991        132.7349949      -0.1750966835  -1.253613671e-006                  0                  0       -2.319844528        3.631525005     0.002054377754   1.377596875e-008        0.346416776       0.1376027385       0.7542729683        1.043913418        7.616073177        9.861296679                  0                  0
 "MBHA.400318"       "RBEND"                    82.43751547        3.412002005               0.23               0.04           3.5e-006          -0.003755                  0                  0                  0         68.4943878        118.2531188      -0.1724747025  -1.230894391e-006                  0                  0       -2.544154054        3.412003836    0.0001768700714   7.206011095e-009       0.3515873342       0.1402146813       0.8102587541       0.9853217518        7.989163313        9.476192998                230                 40
 "DRIFT_16"          "DRIFT"                    84.49351648       0.7000000054                  0                  0                  0                  0                  0                  0                  0        79.41687226        104.6746988      -0.1743693935  -1.223982556e-006                  0                  0       -2.768463581        3.192424687    -0.001700636988   6.360091821e-010       0.3560246032        0.143155991       0.8685022106       0.9270275461        8.368282901        9.093044394                  0                  0
 "MBHA.400326"       "RBEND"                    86.54951748        3.412002005               0.23               0.04       4.00035e-006          -0.003755                  0                  0                  0        91.26227928        91.99871368      -0.1794677239  -1.229080911e-006                  0                  0       -2.992773108         2.97279129    -0.003578138053  -6.873569822e-009       0.3598686047       0.1464907407       0.9284136762       0.8690858341        8.752117274        8.712212592                230                 40
 "DRIFT_17"          "DRIFT"                    88.60551848       0.6999999954                  0                  0                  0                  0                  0                  0                  0        104.0294023        80.22648363      -0.1890827016  -1.252246696e-006                  0                  0       -3.217082634        2.753107377    -0.005455651731  -1.438325174e-008       0.3632271553       0.1502999505       0.9903441867       0.8115787959        9.140412739        8.334237722                  0                  0
 "MBHA.400334"       "RBEND"                    90.66151948        3.412002005               0.23               0.04       4.49995e-006          -0.003755                  0                  0                  0        117.7196214          69.357241      -0.2019013706   -1.28902549e-006                  0                  0        -3.44139216        2.533376682    -0.007333146177  -2.283106087e-008       0.3661842544       0.1546872109        1.053761656       0.7546016363        9.532232903        7.959745543                230                 40
