@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %08s "no-title"
@ ORIGIN           %18s "5.05.01 Windows 64"
@ DATE             %08s "27/04/20"
@ TIME             %08s "13.33.52"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "DRIFT_15"          "DRIFT"                    78.51501247       0.5149999977                  0       -2379.810954        2401.769536         4412.20158        -2.16142233    0.0001780018878  -2.384862429e-006  -2.384862429e-006          0          0                  0                  0 ""                 
 "MBHA.400309"       "RBEND"                    81.92701447        3.412002005          -0.003755       -2382.648497        2401.770143        4410.306826        -2.15766733    0.0001780010653  -3.053258766e-006    1.15137571e-007          0          0                  0                  0 ""                 
 "DRIFT_16"          "DRIFT"                    82.62701447       0.6999999954                  0       -2383.231371        2401.770268        4409.919196        -2.15766733    0.0001780010653  -3.053258766e-006  -3.053258766e-006          0          0                  0                  0 ""                 
 "MBHA.400318"       "RBEND"                    86.03901647        3.412002005          -0.003755       -2386.076009        2401.770875         4408.03511        -2.15391233    0.0001780014879  -3.721654352e-006   4.467412342e-007          0          0                  0                  0 ""                 
 "DRIFT_17"          "DRIFT"                    86.73901648       0.7000000054                  0       -2386.660335           2401.771         4407.64967        -2.15391233    0.0001780014879  -3.721654352e-006  -3.721654352e-006          0          0                  0                  0 ""                 
 "MBHA.400326"       "RBEND"                    90.15101848        3.412002005          -0.003755       -2389.512027        2401.771607         4405.77628        -2.15015733    0.0001780012795   -4.39005034e-006   2.786956482e-007          0          0                  0                  0 ""                 
 "DRIFT_18"          "DRIFT"                    90.85101848       0.6999999954                  0       -2390.097796        2401.771732        4405.393037        -2.15015733    0.0001780012795   -4.39005034e-006   -4.39005034e-006          0          0                  0                  0 ""                 
 "MBHA.400334"       "RBEND"                    94.26302048        3.412002005          -0.003755       -2392.956503        2401.772339        4403.530367        -2.14640233    0.0001780004372  -5.058444355e-006   1.098996601e-007          0          0                  0                  0 ""                 
 "DRIFT_19"          "DRIFT"                    95.20602048       0.9429999977                  0        -2393.74755        2401.772507        4403.017052        -2.14640233    0.0001780004372  -5.058444355e-006  -5.058444355e-006          0          0                  0                  0 ""                 
 "BTV.400343"        "INSTRUMENT"               95.65602048               0.45                  0       -2394.125038        2401.772587        4402.772097        -2.14640233    0.0001780004372  -5.058444355e-006  -5.058444355e-006          0          0                  0                  0 ""                 
 "DRIFT_20"          "DRIFT"                    95.76902048              0.113                  0        -2394.21983        2401.772607        4402.710586        -2.14640233    0.0001780004372  -5.058444355e-006  -5.058444355e-006          0          0                  0                  0 ""                 
 "BCTFI.400344"      "INSTRUMENT"               96.25102048              0.482                  0       -2394.624162        2401.772693        4402.448213        -2.14640233    0.0001780004372  -5.058444355e-006  -5.058444355e-006          0          0                  0                  0 ""                 
 "DRIFT_21"          "DRIFT"                    108.6630205        12.41200002                  0       -2405.036124        2401.774902        4395.691825        -2.14640233    0.0001780004372  -5.058444355e-006  -5.058444355e-006          0          0                  0                  0 ""                 
 "QTLF.400400"       "QUADRUPOLE"               111.6530205               2.99                  0       -2407.544323        2401.775434        4394.064239        -2.14640233    0.0001780004372  -5.058444355e-006  -5.058444355e-006          0          0                  0                  0 ""                 
 "DRIFT_22"          "DRIFT"                    112.0430205               0.39                  0       -2407.871479        2401.775504        4393.851945        -2.14640233    0.0001780004372  -5.058444355e-006  -5.058444355e-006          0          0                  0                  0 ""                 
 "BPK.400407"        "MONITOR"                  112.4930205               0.45                  0       -2408.248968        2401.775584         4393.60699        -2.14640233    0.0001780004372  -5.058444355e-006  -5.058444355e-006          0          0                  0                  0 ""                 
 "DRIFT_23"          "DRIFT"                    113.3680205       0.8749999898                  0       -2408.982972         2401.77574         4393.13069        -2.14640233    0.0001780004372  -5.058444355e-006  -5.058444355e-006          0          0                  0                  0 ""                 
 "MBSG.410010"       "RBEND"                    116.3680217         3.00000122         -0.0031247       -2411.502108        2401.776274        4391.501594        -2.14327763     0.000178000948  -5.614643578e-006   4.415556446e-007          0          0                  0                  0 ""                 
 "DRIFT_24"          "DRIFT"                    117.0080217       0.6399999795                  0       -2412.040066        2401.776388        4391.154894        -2.14327763     0.000178000948  -5.614643578e-006  -5.614643578e-006          0          0                  0                  0 ""                 
 "MBSG.410017"       "RBEND"                    120.0080229         3.00000122         -0.0031247        -2414.56428        2401.776922        4389.533677       -2.140152929    0.0001780012831  -6.170844122e-006   3.853564221e-007          0          0                  0                  0 ""                 
 "DRIFT_25"          "DRIFT"                    120.6480229       0.6399999795                  0       -2415.103319        2401.777036        4389.188659       -2.140152929    0.0001780012831  -6.170844122e-006  -6.170844122e-006          0          0                  0                  0 ""                 
