@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %17s "TT40TT41_ORIGINAL"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720813
@ CHARGE           %le                   1
@ ENERGY           %le         400.0011004
@ PC               %le                 400
@ GAMMA            %le         426.3167459
@ KBUNCH           %le                   1
@ BCURRENT         %le       0.01143613868
@ SIGE             %le              0.0004
@ SIGT             %le                   1
@ NPART            %le              2e+011
@ EX               %le    8.209880711e-009
@ EY               %le    8.209880711e-009
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le                 840
@ ALFA             %le                   0
@ ORBIT5           %le                  -0
@ GAMMATR          %le                   0
@ Q1               %le         3.355846595
@ Q2               %le         3.109764616
@ DQ1              %le                   0
@ DQ2              %le                   0
@ DXMAX            %le         3.465801215
@ DYMAX            %le         1.080312549
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         414.8483103
@ BETYMAX          %le         818.9085733
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.721530347
@ DYRMS            %le        0.2960196056
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %08s "no-title"
@ ORIGIN           %18s "5.05.01 Windows 64"
@ DATE             %08s "27/04/20"
@ TIME             %08s "13.33.52"
* NAME               KEYWORD                           K1L                K2L                K3L                  S                  L            SIGMA_X            SIGMA_Y                 DX                 DY                MUX                MUY             APER_1             APER_2               TILT              ANGLE                  X                  Y               BETX               BETY                 PX                 PY               ALFX               ALFY                DPX                DPY              ENV_X              ENV_Y              AP1MM              AP2MM 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "MBHC.400107"       "RBEND"                              0                  0                  0        13.00000416        5.000004155       0.7144745275       0.9535462681      -0.5395992031  -5.584942788e-009      0.07942694142      0.01569851068               0.13               0.03             5e-007          -0.004466                  0                  0        33.65053894        110.7491452                  0                  0      -0.9725212515        2.499000293     -0.01056859134  -2.234033392e-009        6.931482423        9.806791334                130                 30
 "DRIFT_7"           "DRIFT"                              0                  0                  0        13.50000415       0.4999999948       0.7239765188       0.9427979448      -0.5448834987  -6.701959472e-009      0.08175790923      0.01642524288                  0                  0                  0                  0                  0                  0         34.6375161        108.2664994                  0                  0       -1.001433085        2.466291226     -0.01056859134  -2.234033392e-009        6.987821212        9.730065538                  0                  0
 "MBHC.400118"       "RBEND"                              0                  0                  0        18.50000831        5.000004155         0.82830276       0.8365385154      -0.6088913451   -3.46274884e-008       0.1017251156      0.02471277789               0.13               0.03           1.5e-006          -0.004466                  0                  0        46.09740647        85.23710931                  0                  0       -1.290550703        2.139537036     -0.01503461105  -8.936432359e-009        7.593557472        8.971543538                130                 30
 "DRIFT_8"           "DRIFT"                              0                  0                  0        19.00000831       0.5000000048       0.8395809967        0.826054114      -0.6164086506  -3.909570462e-008       0.1034275091      0.02565823411                  0                  0                  0                  0                  0                  0         47.4024131        83.11393138                  0                  0       -1.319462537        2.106818782     -0.01503461105  -8.936432359e-009        7.657760484        8.896701715                  0                  0
 "MBHC.400129"       "RBEND"                              0                  0                  0        24.00001247        5.000004155       0.9596626722       0.7230590883      -0.7027465399  -1.061193511e-007       0.1181222214      0.03660520307               0.13               0.03             2e-006          -0.004466                  0                  0        62.04259007        63.68019385                  0                  0       -1.608580156        1.779886734     -0.01950063076   -1.78734443e-008         8.32784819         8.16148224                130                 30
 "DRIFT_9"           "DRIFT"                              0                  0                  0        26.75701247        2.757000002        1.030153138       0.6680745511       -0.756509779  -1.553964371e-007       0.1247190282      0.04406557449                  0                  0                  0                  0                  0                  0        71.35182159        54.36340234                  0                  0       -1.768000008        1.599435538     -0.01950063076   -1.78734443e-008        8.714603563        7.768980706                  0                  0
 "QTRF.400200"       "QUADRUPOLE"               0.041359474                  0                  0        29.74701247               2.99        1.043280261        0.650903305      -0.7673255677  -2.196543064e-007       0.1311748036      0.05324146725               0.03               0.03                  0                  0                  0                  0        73.10418564        51.60475182                  0                  0        1.206285576      -0.6390877353      0.01234069947  -2.555044306e-008        8.784905615        7.646405404                 30                 30
 "DRIFT_10"          "DRIFT"                              0                  0                  0        30.25001247              0.503         1.03469606       0.6549887047      -0.7611181958  -2.325061792e-007       0.1322790312      0.05478312469                  0                  0                  0                  0                  0                  0        71.89915938        52.25457938                  0                  0        1.189392866      -0.6528159646      0.01234069947  -2.555044306e-008        8.737079303         7.67556858                  0                  0
 "BPK.400207"        "MONITOR"                            0                  0                  0        30.70001247               0.45        1.027048199       0.6586951049      -0.7555648811  -2.440038786e-007       0.1332826022       0.0561460215            0.11674              0.133                  0                  0                  0                  0        70.83550654        52.84764052                  0                  0        1.174280103      -0.6650976806      0.01234069947  -2.555044306e-008        8.694519075        7.702026309             116.74                133
 "DRIFT_11"          "DRIFT"                              0                  0                  0        37.70001247                  7       0.9125184034       0.7220147166      -0.6691799848    -4.2285698e-007       0.1510014913      0.07542542728                  0                  0                  0                  0                  0                  0        56.04119703        63.49635046                  0                  0       0.9391926853      -0.8561465974      0.01234069947  -2.555044306e-008         8.06406404         8.15402642                  0                  0
